Department,Search Term,Search Frequency Rank,#1 Clicked ASIN,#1 Product Title,#1 Click Share,#1 Conversion Share,#2 Clicked ASIN,#2 Product Title,#2 Click Share,#2 Conversion Share,#3 Clicked ASIN,#3 Product Title,#3 Click Share,#3 Conversion Share
Amazon.com,iphone 12 case,24,B09DSVV1TC,"SPIDERCASE for iPhone 12 Case/iPhone 12 Pro Case, [10 FT Military Grade Drop Protection] [with 2 pcs Tempered Glass Screen Protector] Protective Cover for iPhone 12/12 Pro (Black)",9.21%,13.44%,B08DY8GJN4,OTTERBOX COMMUTER SERIES Case for iPhone 12 & iPhone 12 Pro - BLACK,4.65%,4.72%,B08RNNJN4P,"Elando Crystal Clear Case Compatible with iPhone 12/12 Pro, Non-Yellowing Shockproof Protective Phone Case Slim Thin, 6.1 inch",3.72%,4.19%
Amazon.com,iphone 13 pro case,25,B0967LF6KW,"CASEKOO Crystal Clear Designed for iPhone 13 Pro Case, [Not Yellowing] [Military Drop Protection] Shockproof Protective Phone Case 6.1 inch 2021 (Clear)",7.50%,10.67%,B09C1LS5BT,"Mkeke Compatible with iPhone 13 Pro Case, Not Yellowing Shockproof 13 Pro Phone Clear Case with Protective Bumper Slim Cover Fit for iPhone 13 Pro 2021",4.45%,5.68%,B09BP1YYYG,"Cordking Designed for iPhone 13 Pro Case, Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining], 6.1 inch, Midnight Green",4.38%,6.02%
Amazon.com,ps5,26,B09DFCB66S,PlayStation 5 Console,57.33%,24.97%,B0B16656Z2,PS5 Console- Horizon Forbidden West Bundle,29.61%,37.31%,B0B927LYH2,"Sony Playstation 5 Disc Version PS5 Gaming Console - 16GB GDDR6 Memory, Ultra-High Speed 825GB SSD, 4K Blu-ray Player, WiFi 6, Bluetooth 5.1, Ethernet, 120Hz 8K Output, Tempest 3D AudioTech, Type-C",1.00%,2.67%
Amazon.com,womens dresses,27,B084VGTVGY,Romwe Women's Short Sleeve V Neck All Over Print High Waist A Line Summer Short Dress,3.90%,3.04%,B09PTHRKBD,Romwe Women's Short Sleeve V Neck All Over Print High Waist A Line Summer Short Dress Khaki Allover Print M,1.29%,2.00%,B09PT961LD,Romwe Women's Short Sleeve V Neck All Over Print High Waist A Line Summer Short Dress Khaki Allover Print L,1.18%,1.80%
Amazon.com,lego,28,B093YFKWYR,Space Exploration Shuttle Toys for 6 7 8 9 10 11 12 Year Old Boys Kids 12-in-1 STEM Aerospace Building Kit Toy with Heavy Transport Rocket and Launcher Best Gifts for 6-12 Year Old Kids (566 Pieces),4.36%,4.60%,B08HVX5XSK,"LEGO Technic Monster Jam Grave Digger 42118 Model Building Kit for Boys and Girls Who Love Monster Truck Toys, New 2021 (212 Pieces)",3.84%,5.90%,B09Q4L157D,LEGO Orchid 10311 Plant Decor Building Set for Adults; Build an Orchid Display Piece for The Home or Office (608 Pieces),3.41%,2.99%
Amazon.com,gaming chair,29,B07KJYY9BD,"High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)",4.97%,4.89%,B01MRZ02TL,Homall Gaming Chair Office Chair High Back Computer Chair Leather Desk Chair Racing Executive Ergonomic Adjustable Swivel Task Chair with Headrest and Lumbar Support (White),4.83%,5.11%,B0B65WMTPN,"Gaming Chair Breathable Fabric Office Chair with Pocket Spring Cushion and Massage Lumbar Support, High Back Ergonomic Computer Chair Adjustable Swivel Task Chair with Footrest Blue",4.76%,5.82%
Amazon.com,headphones,30,B00NJ2M43M,"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",8.25%,9.42%,B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",7.21%,10.81%,B01M0GB8CC,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",7.18%,11.06%
Amazon.com,airpods,31,B07PXGQC1Q,"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone",49.01%,55.47%,B09JQMJHXY,"Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case. Active Noise Cancelling, Transparency Mode, Spatial Audio, Customizable Fit, Sweat and Water Resistant. Bluetooth Headphones for iPhone",20.11%,24.26%,B096SRYXMP,"Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - White",3.16%,2.79%
Amazon.com,mini fridge,32,B08G5575X6,"Living Enrichment Mini Fridge 4 Liter/6 Can Skincare Fridge, AC 120V DC 12V Portable Small Refrigerator Cooler and Warmer for Skincare, Foods, Medications, Bedroom, Travel and Car - Black",18.54%,17.63%,B01DZQI6YW,"BLACK+DECKER BCRK17B Compact Refrigerator Energy Star Single Door Mini Fridge with Freezer, 1.7 Cubic Feet, Black",4.66%,5.30%,B09YGGWSX1,"Frigidaire EFMIS175-RED Portable Mini Fridge-Retro Extra Large 9-Can Travel Compact Refrigerator, RED",3.53%,4.11%
Amazon.com,pencil case,33,B09WK9H4HK,"Teskyer Big Capacity Pencil Case, Large Storage Pencil Pouch, Canvas Pencil Bag for Organize Markers Pens Stationery School Office Supplies, Light Green",7.43%,6.32%,B08P48YL4G,CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Pink),4.73%,4.55%,B09WKDM8ZX,"Teskyer Big Capacity Pencil Case, Large Storage Pencil Pouch, Canvas Pencil Bag for Organize Markers Pens Stationery School Office Supplies, Light Blue",4.01%,3.26%
Amazon.com,room decor,34,B07R9Q55G3,CEWOR 14 Pack 98 Feet Fake Ivy Leaves Artificial Ivy Garland Greenery Garlands Hanging Plant Vine for Wedding Wall Party Room Astethic Stuff Decor,9.42%,13.31%,B098FHZJDW,STORi Bliss 4-Compartment Clear Plastic Organizer with Small Accessory Drawer | Rectangular Vanity Storage Bin with Pass-Through Handles | Round Corner Design | Made in USA,5.13%,4.27%,B093B895PN,"K1tpde 48PCS Retro Room Decor Wall Collage Aesthetic with Fake Vines, Retro Records Picture for Wall Collage, Retro Room Decor for Girls, Wall Art Prints with Fake Vine for Bedroom, Retro Records Wall Picture Decor for Teens, Colorful Collage Kit",4.04%,3.93%
Amazon.com,ipad,35,B09G9CJM1Z,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Silver",34.07%,47.04%,B09V3H8MJT,"2022 Apple iPad Air (10.9-inch, Wi-Fi, 256GB) - Purple (5th Generation)",7.70%,6.50%,B00TREI0F2,"Apple iPad Air 2, 64 GB, Space Gray (Renewed)",6.58%,5.74%
Amazon.com,protein powder,36,B002DYIZH6,"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Double Rich Chocolate 2 Pound (Packaging May Vary)",13.12%,13.88%,B099HZG89P,"Dymatize ISO100 Hydrolyzed Protein Powder, 100% Whey Isolate Protein, 25g of Protein, 5.5g BCAAs, Gluten Free, Fast Absorbing, Easy Digesting, Fruity Pebbles, 20 Servings",8.23%,6.42%,B00QJ7XOQ0,"Body Fortress Super Advanced Whey Protein Powder, Chocolate Flavored, Gluten Free, 2 Lb",6.21%,6.40%
Amazon.com,nintendo switch,37,B098RL6SBJ,Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,22.91%,36.75%,B07VGRJDFY,Nintendo Switch with Neon Blue and Neon Red Joy‑Con,18.68%,18.88%,B092VT1JGD,Nintendo Switch Lite - Blue,10.78%,8.77%
Amazon.com,jansport backpack,38,B083VRVYLZ,JanSport JS0A4QUT008 Superbreak Black,18.29%,14.04%,B0876HK124,"JanSport SuperBreak One, Russet Red, Size",5.75%,7.06%,B0823VFB4C,"JanSport Cross Town Backpack - School, Travel, or Work Bookbag with Water Bottle Pocket, Black",5.11%,5.44%
Amazon.com,mouse pad,39,B00006HTZ0,Belkin Standard 8-Inch by 9-Inch Computer Mouse Pad with Neoprene Backing and Jersey Surface (Black) (F8E089-BLK),11.30%,15.69%,B07C3XZMC6,"JIKIOU 3 Pack Mouse Pad with Stitched Edge, Comfortable Mouse Pads with Non-Slip Rubber Base, Washable Mousepads Bulk with Lycra Cloth, Mouse Pads for Computers Laptop Mouse 10.2x8.3x0.12inch Black",7.45%,10.67%,B07DVCGX7G,"MROCO Ergonomic Mouse Pad with Wrist Support Gel Mouse Pad with Wrist Rest, Comfortable Computer Mouse Pad for Laptop, Pain Relief Mousepad with Non-slip PU Base for Office & Home, 9.4 x 8.1 in, Black",4.47%,6.33%
Amazon.com,air fryer,40,B085W3GN5J,"COSORI Pro II Air Fryer Oven Combo, 5.8QT Max Xl Large Cooker with 12 One-Touch Savable Custom Functions, Cookbook and Online Recipes, Nonstick and Dishwasher-Safe Detachable Square Basket",8.92%,9.05%,B08YS2ZZ97,"Instant Vortex 4-in-1, 2-QT Mini Air Fryer Oven Combo, From the Makers of Instant Pot with Customizable Smart Cooking Programs, Nonstick and Dishwasher-Safe Basket, App with over 100 Recipes, Black",7.88%,8.81%,B0936FGLQS,"COSORI Air Fryer, 5 QT, 9-in-1 Airfryer Compact Oilless Small Oven, Dishwasher-Safe, 450℉ freidora de aire, 30 Exclusive Recipes, Tempered Glass Display, Nonstick Basket, Quiet, Fit for 2-4 People",6.86%,9.38%
Amazon.com,tv stand,41,B077MJZ6ZG,"PERLESMITH Universal TV Stand - Table Top TV Stand for 37-55 inch LCD LED TVs - Height Adjustable TV Base Stand with Tempered Glass Base & Wire Management, VESA 400x400mm",7.39%,15.81%,B00EDTE32K,"Furinno Turn-S-Tube Wide TV Entertainment Center, Espresso/Black",5.67%,8.54%,B07R2Z4YG3,"Nathan James Wesley Scandinavian TV Stand Media Console with Wooden Frame and Cabinet Doors, White/Rustic Oak",5.27%,3.37%
Amazon.com,led lights for bedroom,42,B09V366BDY,"Ksipze 100ft Led Strip Lights (2 Rolls of 50ft) RGB Music Sync Color Changing, Led Lights with Smart App Control Remote, Led Lights for Bedroom Lighting Flexible Home Decoration (100FT)",10.66%,8.30%,B09CFRFSMJ,"LED Strip Lights, 65ft Smart Rope Light Strips with 44-Key Remote, RGB 5050 Color Changing Music Sync Led Strip, Phone App Control Led Lights for Bedroom, Living Room Home Christmas Party Decoration",8.59%,11.76%,B0932M1666,"Tenmiro Led Lights for Bedroom 100ft (2 Rolls of 50ft) Music Sync Color Changing LED Strip Lights with Remote and App Control 5050 RGB LED Strip, LED Lights for Room Home Party Decoration",8.44%,9.29%
Amazon.com,apple watch,43,B09HFGSRJ7,"Apple Watch Series 7 [GPS 45mm] Smart Watch w/ (Product) RED Aluminum Case with (Product) RED Sport Band. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant",15.21%,12.44%,B0799R5M8P,"Apple Watch Series 3 (GPS, 38MM) - Space Gray Aluminum Case with Black Sport Band (Renewed)",10.33%,12.20%,B07P6N1FKS,"Apple Watch Series 4 (GPS, 40MM) - Silver Aluminum Case with White Sport Band (Renewed)",5.91%,7.77%
Amazon.com,iphone 12 pro max case,44,B08CZL5NX7,"TORRAS Shockproof Compatible for iPhone 12 Pro Max Case, Military Grade Drop Protection Translucent Matte Case Compatible for iPhone 12 Pro Max Phone Case, Guardian Series, Black",8.03%,9.99%,B08DY7M44F,OtterBox Commuter Series Case for iPhone 12 Pro Max - Black,6.51%,7.06%,B086CB1KYD,"ORIbox Case Compatible with iPhone 13 Pro Max and iPhone 12 Pro Max, Heavy Duty Shockproof Anti-Fall Clear case",3.06%,2.65%
Amazon.com,fall decor,45,B07CZBNV27,"[2Pack] Fall Decor for Home Thanksgiving Decorations Lighted Fall Garland, Total 16.4ft 40 LED, Fall Decorations Thanksgiving Halloween Decor Maple Leaves String Lights for Indoor Room Autumn Harvest",7.13%,10.31%,B0B153H4MW,Fall Decor - Fall Tiered Tray Decor Bundle 6 PCS - 3 Fall Wooden Signs - Plush Gnome - Wood Beads Garland - Mini Wooden Banner - Rustic Farmhouse Home Autumn Harvest Kitchen Table Shelf Decorations,3.25%,2.53%,B07H5HWQDB,G Lake Orange Plaid Blanket Throw Acrylic Soft Reversible Dyed Fringed Bed Blanket for Christmas Decorations 50 W x 67 L-Orange,3.12%,1.94%
Amazon.com,summer dresses for women 2022,46,B08QHDRK5L,Ezbelle Women's Off The Shoulder Short Sleeve Ribbed Casual Party Bodycon Midi Dress,1.35%,1.44%,B081V19YV3,"STYLEWORD Women's V Neck Floral Spaghetti Strap Summer Dress Patchwork Casual Sundress with Pocket(Floral07,M)",0.92%,1.35%,B08D9GW9RF,Floerns Women's Boho Floral Print Off Shoulder Split Long A Line Dress A Green M,0.89%,1.13%
Amazon.com,dresses,47,B084VGTVGY,Romwe Women's Short Sleeve V Neck All Over Print High Waist A Line Summer Short Dress,3.40%,3.51%,B09DS5ZMZ2,Cosonsen Women's Dress Deep V-Neck Long Sleeve Waist Tie Ruffle Mini Swing Skater Dresses,1.51%,1.02%,B0B5RCRQMK,Casual Dresses for Women Beach Dress Sundresses Dress Dress Elegant Party Dress V-Neck Strap Spaghetti Dresses,1.35%,0.79%
Amazon.com,iphone charger,48,B08Y1G3KRX,"[Apple MFi Certified] iPhone Fast Charger, 20W USB C Power Delivery Wall Charger Plug with 6ft Type C to Lightning Cable Quick Charging Data Sync Cord for iPhone 13 12 11 Pro Max Mini Xs Xr X 8 iPad",13.75%,12.89%,B07PHSF8DP,"iPhone Charger, TAKAGI Lightning Cable 3PACK 6FT Nylon Braided USB Charging Cable High Speed Data Sync Transfer Cord Compatible with iPhone 13/12/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S/6/SE/5S/iPad",11.05%,13.67%,B09YTNR4SQ,6Pack(3/3/6/6/6/10 FT)[Apple MFi Certified] iPhone Charger Long Lightning Cable Fast Charging High Speed Data Sync USB Cable Compatible iPhone 13/12/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S iPad AirPods,8.04%,8.21%
